Well Log Id,Well Comp Dt,Year,Well Depth Qt,Well Diameter Qt,Well Depth,elevation,elevation (ft),St Plane Xcoord Nr,St Plane Ycoord Nr,latitude,longitude
61283,8/10/1987,1987,62,6,-45.5958,5,16.4042,1130156,829824,47.59040413,-122.5678938
61289,9/22/1977,1977,67,6,60.95276,39,127.95276,1144590,865137,47.68819492,-122.5130756
61296,7/29/1977,1977,230,6,-10.18372,67,219.81628,1133544,844340,47.630425,-122.5557026
61305,6/18/1975,1975,74,6,99.88452,53,173.88452,1143342,869124,47.69903277,-122.5185545
61306,6/22/1984,1984,105,6,22.95276,39,127.95276,1132260,845685,47.63401882,-122.5610502
61312,4/24/1991,1991,228,6,-106.60892,37,121.39108,1146727,846636,47.63764624,-122.5024965
61321,6/10/1978,1978,85,6,19.98688,32,104.98688,1129022,849069,47.64305917,-122.5745382
61351,7/7/1989,1989,94,6,-41.50656,16,52.49344,1131033,851008,47.64851719,-122.5665901
61373,2/23/1978,1978,70,6,123.56956,59,193.56956,1141582,849386,47.64482215,-122.5236426
61376,10/6/1989,1989,191,6,-63.04724,39,127.95276,1138185,871900,47.70627594,-122.5397786
61378,12/22/1989,1989,78,6,40.11024,36,118.11024,1143824,837884,47.61346037,-122.5133605
